ts,symbol,price,qty,side
1766641685342,BTCUSDT,87831.01,0.00292,buy
1766642510399,BTCUSDT,87827.63,0.00341,buy
1766642825379,BTCUSDT,87706.38,0.00158,sell
1766643017746,BTCUSDT,87707.45,0.01073,sell
1766643017839,BTCUSDT,87707.44,0.05084,sell
1766643025510,BTCUSDT,87707.43,0.01079,sell
1766643025633,BTCUSDT,87696.2,0.01799,sell
1766643130163,BTCUSDT,87824.33,6e-05,buy
1766643137417,BTCUSDT,87696.48,0.01173,sell
1766643137642,BTCUSDT,87696.47,0.02348,sell
1766643200357,BTCUSDT,87823.75,3e-05,buy
1766643215299,BTCUSDT,87823.62,0.00011,buy
1766643698134,BTCUSDT,87819.89,0.00256,buy
1766643809574,BTCUSDT,87819.05,5e-05,buy
1766643859208,BTCUSDT,87697.02,0.00171,sell
1766643859208,BTCUSDT,87697.01,0.00112,sell
1766645678907,BTCUSDT,87948.39,0.00057,buy
1766645764515,BTCUSDT,87947.73,0.00332,buy
1766645795359,BTCUSDT,87947.51,0.00057,buy
1766645824274,BTCUSDT,87739.41,0.0017,sell
1766645824274,BTCUSDT,87739.4,0.00162,sell
1766646064823,BTCUSDT,87745.51,0.00029,sell
1766646065369,BTCUSDT,87945.75,0.00011,buy
1766646170420,BTCUSDT,87944.97,6e-05,buy
1766646611052,BTCUSDT,87756.66,0.00048,sell
1766646695319,BTCUSDT,87938.09,0.00011,buy
1766646755349,BTCUSDT,87937.8,0.00011,buy
1766647850521,BTCUSDT,87925.98,6e-05,buy
1766648244462,BTCUSDT,87919.31,0.00034,buy
1766648307103,BTCUSDT,87783.23,6e-05,sell
1766648307103,BTCUSDT,87783.18,1e-05,sell
1766649374290,BTCUSDT,87901.51,0.0017,buy
1766649374290,BTCUSDT,87901.55,0.00201,buy
1766649740387,BTCUSDT,87935.48,0.00023,buy
1766649808997,BTCUSDT,87764.71,0.00013,sell
1766649950472,BTCUSDT,87934.08,0.00023,buy
1766649965539,BTCUSDT,87933.98,6e-05,buy
1766650021945,BTCUSDT,87769.28,0.00023,sell
1766650085369,BTCUSDT,87937.55,6e-05,buy
1766650109215,BTCUSDT,87937.55,0.00022,buy
1766650537330,BTCUSDT,87779.08,6e-05,sell
1766650544232,BTCUSDT,87779.08,0.0044,sell
